"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Cadillac | Ford | Honda | Kia | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DDC34BC56"
"ColumnCount:",15
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Cadillac, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Kia, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Kia, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",7606,90,1624,48,,92,7446,90,1598,48,,88,,
"02/1975",7018,108,1396,68,,84,6920,102,1392,64,,84,,
"03/1975",8156,112,1722,72,,92,8002,112,1694,68,,90,,
"04/1975",8144,114,1604,104,,110,7952,114,1578,104,,110,,
"05/1975",9964,130,1936,176,,146,9682,130,1886,172,,140,,
"06/1975",10114,138,1860,206,,140,9830,136,1824,204,,136,,
"07/1975",10462,156,2014,212,,114,10188,156,1980,210,,112,,
"08/1975",10742,144,2044,176,,146,10450,142,2002,166,,146,,
"09/1975",9750,136,1964,198,,106,9490,134,1912,198,,104,,
"10/1975",9916,130,1998,148,,128,9614,128,1954,146,,128,,
"11/1975",9722,144,2034,132,,122,9470,144,1976,128,,120,,
"12/1975",9468,134,1954,80,,128,9264,134,1914,80,,128,,
"01/1976",7498,112,1528,46,,86,7342,110,1488,46,,86,,
"02/1976",7402,122,1618,74,,118,7248,122,1594,74,,116,,
"03/1976",7868,124,1578,108,,94,7698,124,1554,106,,94,,
"04/1976",8682,106,1692,112,,130,8464,104,1670,112,,128,,
"05/1976",10150,134,2002,210,,136,9930,132,1962,206,,134,,
"06/1976",9750,142,1910,150,,160,9494,138,1856,144,,160,,
"07/1976",11222,144,2188,230,,154,10956,134,2158,228,,150,,
"08/1976",10714,118,2148,248,,154,10506,118,2114,246,,152,,
"09/1976",9900,126,1974,190,,132,9736,120,1944,188,,132,,
"10/1976",10506,164,2034,146,,150,10282,160,1986,144,,148,,
"11/1976",8676,120,1860,122,,136,8512,120,1840,122,,130,,
"12/1976",9800,158,1960,114,,162,9668,156,1936,114,,160,,
"01/1977",7026,136,1448,104,10,148,6916,132,1438,104,10,146,,
"02/1977",7342,78,1552,96,38,122,7202,76,1538,96,38,118,,
"03/1977",8820,120,1916,188,78,132,8658,118,1890,188,78,132,,
"04/1977",9358,138,1856,268,98,136,9216,138,1834,268,98,136,,
"05/1977",10172,134,1978,378,186,182,10022,134,1946,378,186,182,,
"06/1977",10940,140,2034,392,172,184,10702,136,1992,392,172,184,,
"07/1977",12304,102,2320,602,282,250,12008,100,2280,602,282,244,,
"08/1977",11718,118,2258,416,182,208,11528,118,2224,416,182,202,,
"09/1977",10670,130,2018,346,142,176,10430,128,1972,346,142,176,,
"10/1977",11464,106,2320,294,108,186,11248,102,2296,294,108,180,,
"11/1977",10518,150,2246,196,70,194,10346,148,2200,196,70,192,,
"12/1977",10698,154,2182,130,42,200,10556,154,2156,130,42,200,,
"01/1978",7140,108,1446,94,18,112,7010,108,1438,94,18,110,,
"02/1978",6914,130,1460,116,26,128,6748,130,1450,116,26,126,,
"03/1978",9068,134,1790,158,56,196,8936,134,1774,158,56,192,,
"04/1978",9946,134,2006,312,118,156,9788,134,1982,312,118,156,,
"05/1978",11122,164,1952,456,210,194,10908,164,1928,456,210,190,,
"06/1978",11918,174,2246,510,220,220,11664,174,2216,510,220,220,,
"07/1978",12576,152,2276,566,218,226,12250,152,2230,562,218,226,,
"08/1978",12632,178,2290,548,228,236,12404,178,2268,548,228,234,,
"09/1978",12204,156,2358,458,184,210,11972,156,2328,458,184,210,,
"10/1978",12038,162,2424,310,124,226,11788,162,2392,310,124,224,,
"11/1978",11308,132,2304,228,74,258,11140,130,2296,226,74,254,,
"12/1978",11422,174,2324,202,38,258,11214,172,2308,202,38,252,,
"01/1979",8192,138,1590,122,28,192,8080,138,1582,122,28,192,,
"02/1979",8318,110,1704,122,38,196,8194,110,1686,122,38,196,,
"03/1979",10402,156,1958,264,70,242,10254,156,1948,264,70,236,,
"04/1979",10404,144,1898,350,136,230,10258,144,1880,350,136,228,,
"05/1979",10982,116,1980,478,230,218,10802,116,1962,478,230,216,,
"06/1979",11226,134,2038,524,254,226,10968,128,2018,520,254,224,,
"07/1979",11802,138,2090,516,268,234,11596,138,2064,516,268,230,,
"08/1979",11882,130,2248,542,230,280,11716,130,2230,542,230,280,,
"09/1979",11684,140,2252,430,212,266,11556,140,2234,430,212,264,,
"10/1979",11750,200,2182,276,118,212,11590,200,2160,276,118,212,,
"11/1979",11124,134,2168,198,62,248,10958,134,2150,198,62,246,,
