"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"04/06/1985",,,1370,,
"09/28/1985",,,,,523
"10/05/1985",,,,,739
"10/12/1985",,,,,905
"10/19/1985",,,,,658
"10/26/1985",,,,,761
"11/02/1985",,,,,761
"11/09/1985",,,,,914
"11/16/1985",,,,,1136
"11/23/1985",,,,,1427
"11/30/1985",,,,,983
"12/07/1985",,,,,1579
"12/14/1985",,,,,1082
"12/21/1985",,,,,1084
"12/28/1985",,,,,742
"01/04/1986",,,,,1170
"01/11/1986",,,,,1738
"01/18/1986",,,,,1312
"01/25/1986",,,,,1144
"02/01/1986",,,,,1154
"02/08/1986",,75972,,,1378
"02/15/1986",2048,54117,1188,20647,1382
"02/22/1986",1635,68363,1011,21499,1124
"03/01/1986",1818,65093,1184,21738,1190
"03/08/1986",2257,66435,1411,22049,1180
"03/15/1986",2005,69869,1135,20144,1201
"03/22/1986",1737,69000,1139,18883,1175
"03/29/1986",1585,56615,1030,23415,948
"04/05/1986",2285,56922,1370,25738,1468
"04/12/1986",2230,54683,1269,20660,1511
"04/19/1986",1952,51769,1793,18928,1420
"04/26/1986",1971,51636,1314,22126,1037
"05/03/1986",1746,52760,1262,20278,982
"05/10/1986",1846,56805,1206,20367,1066
"05/17/1986",1822,48844,1040,18498,955
"05/24/1986",1735,46335,1012,20219,913
"05/31/1986",1159,38081,1130,16725,812
"06/07/1986",2095,51830,1397,19959,924
"06/14/1986",1857,49519,1342,18171,830
"06/21/1986",1630,56609,1486,18349,966
"06/28/1986",2088,54670,1060,20224,814
"07/05/1986",1639,47656,776,29162,1074
"07/12/1986",2191,50996,1470,26607,1044
"07/19/1986",2191,50698,1079,19306,1016
"07/26/1986",1464,51936,1019,23475,913
"08/02/1986",1524,50000,1108,20102,891
"08/09/1986",1443,51863,1103,20000,867
"08/16/1986",1375,45186,877,20851,788
"08/23/1986",1488,47495,1105,18207,847
"08/30/1986",1681,43523,915,17052,825
"09/06/1986",1291,58692,946,17005,767
"09/13/1986",1771,47423,1133,17148,1014
"09/20/1986",1745,49667,1047,17485,908
"09/27/1986",1667,50263,956,19504,792
"10/04/1986",1989,49560,961,19088,1014
"10/11/1986",1976,51541,1078,22768,1008
"10/18/1986",1702,44981,904,17560,826
"10/25/1986",2084,54936,1531,19179,1069
"11/01/1986",2000,52766,998,20155,944
"11/08/1986",2187,58000,847,20578,1223
"11/15/1986",1837,48253,1021,23047,1344
"11/22/1986",1999,65510,1373,25716,1333
"11/29/1986",1639,42930,755,23846,970
"12/06/1986",2011,59701,1239,25363,1203
"12/13/1986",1773,60031,977,24008,1112
"12/20/1986",1811,60225,893,24337,1065
"12/27/1986",1550,54228,1011,34467,983
"01/03/1987",1748,44577,1273,30923,717
"01/10/1987",2749,68348,1651,30694,1986
"01/17/1987",2189,67135,1193,24874,1533
"01/24/1987",1659,57652,1236,19464,1115
"01/31/1987",2052,64451,869,23202,1079
"02/07/1987",2244,71411,1262,22405,1228
"02/14/1987",1767,54446,1076,20363,996
"02/21/1987",1684,56218,668,19450,833
"02/28/1987",1827,61173,1046,19172,902
"03/07/1987",1650,56913,926,19951,965
"03/14/1987",1605,57880,984,17991,820
"03/21/1987",1579,,878,18294,857
"03/28/1987",1312,50246,879,16310,856
"04/04/1987",1857,48363,1299,18468,1096
"04/11/1987",1848,48000,1167,20873,928
"04/18/1987",1826,46967,854,26826,716
"04/25/1987",1433,43908,1303,17252,714
"05/02/1987",1432,43737,1165,16467,576
"05/09/1987",1301,48356,1273,18105,634
"05/16/1987",1666,46700,958,19076,584
"05/23/1987",1416,42200,1188,17879,672
"05/30/1987",1280,33019,1066,15386,602
"06/06/1987",1943,47891,1245,17822,691
"06/13/1987",1737,45132,1171,18581,590
"06/20/1987",1455,47000,1321,18178,534
"06/27/1987",1283,47369,1210,21932,578
"07/04/1987",1272,,,26822,587
"07/11/1987",1591,,,19584,788
"07/18/1987",1282,,,17718,524
"07/25/1987",1046,,,18757,457
"08/01/1987",1132,46800,981,20989,402
"08/08/1987",1137,46794,1021,18350,479
"08/15/1987",1087,44000,1133,15001,445
"08/22/1987",1022,41101,751,15456,402
"08/29/1987",1099,42400,1025,14054,478
"09/05/1987",1149,42200,1148,14492,450
"09/12/1987",1028,36576,820,13514,445
"09/19/1987",1345,42583,1009,15694,447
"09/26/1987",1362,41500,971,17246,453
"10/03/1987",1599,44094,1043,16373,483
"10/10/1987",1759,50161,987,17303,902
"10/17/1987",1706,42489,844,14677,565
"10/24/1987",1490,49774,996,16474,639
"10/31/1987",1731,49201,856,481,
"11/07/1987",,58250,921,17839,757
"11/14/1987",1407,49249,863,18533,640
"11/21/1987",1802,59040,1116,23266,944
"11/28/1987",1272,40022,772,21952,630
"12/05/1987",1597,61527,1100,23679,1152
"12/12/1987",1550,55607,789,23038,777
"12/19/1987",1489,53000,1332,24087,795
"12/26/1987",1406,42967,1528,25691,722
"01/02/1988",1317,45862,1248,31931,623
"01/09/1988",2676,64479,1520,32781,1534
"01/16/1988",2286,56596,1687,26133,1055
"01/23/1988",1732,51316,1283,19508,1027
"01/30/1988",1599,52043,1341,21448,953
"02/06/1988",1781,58959,1318,20128,959
"02/13/1988",1825,52500,1207,19762,858
"02/20/1988",1499,55921,1021,18334,685
"02/27/1988",1653,52960,1062,19195,733
"03/05/1988",1491,56852,1180,17781,735
"03/12/1988",1310,50904,994,16771,684
"03/19/1988",1172,48503,895,16317,684
"03/26/1988",1184,48824,799,15899,580
"04/02/1988",1294,45098,1047,18557,530
"04/09/1988",1822,45772,1211,23706,956
"04/16/1988",1690,42713,1115,16368,603
"04/23/1988",1450,50300,905,16771,512
"04/30/1988",1286,44674,1040,15515,530
"05/07/1988",1347,50755,1075,15944,498
"05/14/1988",1298,50100,1031,15547,481
"05/21/1988",1218,47792,1012,15972,488
"05/28/1988",1170,41483,1024,16160,417
"06/04/1988",1226,38710,903,13944,528
"06/11/1988",1437,47335,872,16031,427
"06/18/1988",1163,47081,1244,15813,517
"06/25/1988",985,51191,995,16420,418
"07/02/1988",1181,46664,920,24552,434
"07/09/1988",970,42075,1059,22213,535
"07/16/1988",1116,44056,1157,17887,459
"07/23/1988",909,48643,788,18229,483
"07/30/1988",1093,44647,959,20933,325
"08/06/1988",1103,46559,1024,16521,378
"08/13/1988",1001,45378,1011,14272,295
"08/20/1988",895,41622,682,14605,336
"08/27/1988",888,41200,952,13890,346
"09/03/1988",1076,42500,966,13546,371
"09/10/1988",787,36395,894,13334,384
"09/17/1988",1023,42242,867,14636,483
"09/24/1988",1015,44869,796,14101,410
"10/01/1988",817,43907,867,14069,414
"10/08/1988",1710,44582,1073,15592,674
"10/15/1988",1607,39055,781,14088,534
"10/22/1988",1500,45570,1005,16298,587
"10/29/1988",1860,45988,698,16739,611
"11/05/1988",1592,51892,816,18683,715
"11/12/1988",1282,44878,664,14039,660
"11/19/1988",1579,58492,837,23396,1046
"11/26/1988",1192,34445,682,20658,704
"12/03/1988",1559,57958,1173,22359,956
"12/10/1988",1389,51507,1018,21494,873
"12/17/1988",1377,45429,970,23109,795
"12/24/1988",1502,55791,1169,25874,755
"12/31/1988",1025,45597,928,33535,727
"01/07/1989",1722,49531,1101,25847,1126
"01/14/1989",2222,53821,1366,25491,1184
"01/21/1989",1554,46464,1055,18742,861
"01/28/1989",1781,55398,884,20890,805
"02/04/1989",1443,52334,800,20909,904
"02/11/1989",1700,60147,1030,20367,1032
"02/18/1989",1551,48503,1202,20162,772
"02/25/1989",1144,47120,1029,18574,572
"03/04/1989",1349,52371,1468,19427,665
"03/11/1989",1298,57371,1134,18384,654
"03/18/1989",1242,51640,756,17888,632
"03/25/1989",1151,47908,651,19438,621
"04/01/1989",896,47382,771,20400,448
"04/08/1989",1773,47187,1143,18321,726
"04/15/1989",1344,44418,1234,16733,638
"04/22/1989",1222,47382,905,19649,514
"04/29/1989",1063,47699,495,17687,469
"05/06/1989",1169,49696,973,17885,507
"05/13/1989",957,46637,821,17776,441
"05/20/1989",961,42591,931,17149,526
"05/27/1989",957,41436,917,17374,431
"06/03/1989",902,38974,775,15379,472
"06/10/1989",1094,50118,988,18163,494
"06/17/1989",1033,47234,1006,18105,421
"06/24/1989",777,50058,1010,18881,439
"07/01/1989",885,49087,850,25287,407
"07/08/1989",915,42000,886,23780,431
"07/15/1989",996,49319,1007,21507,397
"07/22/1989",753,47404,867,17492,450
"07/29/1989",1006,46290,766,17572,381
"08/05/1989",839,47547,745,19875,361
"08/12/1989",780,46701,723,20451,365
"08/19/1989",751,43441,629,19187,380
"08/26/1989",770,40867,829,19001,347
"09/02/1989",1032,41051,668,16834,313
"09/09/1989",908,37925,865,16277,309
"09/16/1989",940,44745,804,18653,355
"09/23/1989",1083,50716,780,19110,367
"09/30/1989",1143,46017,736,17879,314
"10/07/1989",1812,52600,1060,52670,515
"10/14/1989",1432,41478,997,17241,433
"10/21/1989",1384,52115,900,20515,314
"10/28/1989",1970,64033,860,19703,355
"11/04/1989",1061,57459,725,20681,410
"11/11/1989",1197,49200,634,20198,334
"11/18/1989",1973,55938,724,24675,463
"11/25/1989",1193,32694,700,24393,268
"12/02/1989",1643,66249,929,28380,497
"12/09/1989",1453,57339,734,28757,471
"12/16/1989",1177,52887,682,25989,877
"12/23/1989",1379,53426,805,28119,892
"12/30/1989",937,42789,830,34181,602
"01/06/1990",2213,54631,965,32057,858
"01/13/1990",2781,67639,1443,37781,1099
"01/20/1990",2134,62836,1160,26035,718
"01/27/1990",1839,62148,2370,28404,820
"02/03/1990",1760,61902,1394,23478,746
"02/10/1990",1919,69000,994,24796,646
"02/17/1990",1811,56126,881,20555,851
